"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 10:29:32 CST 2025","Tue Aug 12 10:29:51 CST 2025","18720","","","","","","Ingresar a Mercado Libre y buscar un producto con diferentes artículos -- @1.2 ",""
"passed","Tue Aug 12 10:30:10 CST 2025","Tue Aug 12 10:30:29 CST 2025","18653","","","","","","Ingresar a Mercado Libre y buscar un producto (específico)",""
"passed","Tue Aug 12 10:29:13 CST 2025","Tue Aug 12 10:29:32 CST 2025","19026","","","","","","Ingresar a Mercado Libre y buscar un producto con diferentes artículos -- @1.1 ",""
"passed","Tue Aug 12 10:29:51 CST 2025","Tue Aug 12 10:30:10 CST 2025","18768","","","","","","Ingresar a Mercado Libre y buscar un producto con diferentes artículos -- @1.3 ",""
